AnoCalendario;DataArquivamento;DataAbertura;CodigoRegiao;Regiao;UF;strRazaoSocial;strNomeFantasia;Tipo;NumeroCNPJ;RadicalCNPJ;RazaoSocialRFB;NomeFantasiaRFB;CNAEPrincipal;DescCNAEPrincipal;Atendida;CodigoAssunto;DescricaoAssunto;CodigoProblema;DescricaoProblema;SexoConsumidor;FaixaEtariaConsumidor;CEPConsumidor
2021;2021-03-03 10:19:00.000;2021-01-19 12:00:34.000;01;Norte;PA;MULTIMARCAS ADMINISTRADORA DE CONSÓRCIOS LTDA;MULTIMARCAS CONSÓRCIOS;1;4124922000161;04124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA;MULTIMARCAS CONSORCIOS;6493000;ADMINISTRAÇÃO DE CONSÓRCIOS PARA AQUISIÇÃO DE BENS E DIREITOS;N;57;Consórcio de Automóveis ou Automotores, Utilitários, Caminhonetes;1307;Desistência de consorcio;M;entre 21 a 30 anos;68000001
2021;2021-04-07 10:55:17.000;2021-02-19 09:33:43.000;01;Norte;PA;A SARAIVA SOUZA - ME;MERITO CURSOS;1;21364925000191;21364925;NULL;NULL;NULL;NULL;N;236;Cursos Livres Outros;5369;Cobrança indevida/abusiva;F;entre 31 a 40 anos;68143000
2021;2021-03-31 09:29:57.000;2021-02-22 10:48:12.000;01;Norte;PA;AZUL LINHAS AÉREAS BRASILEIRAS S.A;AZUL LINHAS AÉREAS;1;9296295000160;09296295;AZUL LINHAS AEREAS BRASILEIRAS S.A.;;5111100;TRANSPORTE AÉREO DE PASSAGEIROS REGULAR;N;276;Agências e Operadoras de viagens (pacotes turísticos);5157;Recusa injustificada em prestar serviço;F;entre 31 a 40 anos;68040020
2021;2021-08-03 10:42:54.000;2021-06-16 11:10:37.000;01;Norte;PA;AZUL LINHAS AÉREAS BRASILEIRAS S.A;AZUL LINHAS AÉREAS;1;9296295000160;09296295;AZUL LINHAS AEREAS BRASILEIRAS S.A.;;5111100;TRANSPORTE AÉREO DE PASSAGEIROS REGULAR;N;276;Agências e Operadoras de viagens (pacotes turísticos);5760;Contrato - Rescisão/alteração unilateral;F;entre 21 a 30 anos;68020620
2021;2021-09-21 09:22:33.000;2021-07-16 12:38:52.000;01;Norte;PA;MOTOROLA INDUSTRIAL LTDA;MOTOROLA;1;1472720000112;01472720;MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA;;4652400;COMÉRCIO ATACADISTA DE COMPONENTES ELETRÔNICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO;N;101;Telefone ( Convencional, Celular, Interfone, Etc. );NULL;NULL;F;entre 31 a 40 anos;NULL
2021;2021-04-07 09:14:22.000;2021-02-25 11:25:42.000;01;Norte;PA;MM TURISMO E VIAGENS S.A;MAXMILHAS;1;16988607000161;16988607;MAX MILHAS LTDA - ME;MAX MILHAS;7490104;ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERVIÇOS E NEGÓCIOS EM GERAL, EXCETO IMOBILIÁRIOS;N;156;Transporte  ( Passageiros, Cargas );3671;Recusa injustificada em prestar serviço;F;entre 31 a 40 anos;NULL
2021;2021-09-22 09:31:12.000;2021-07-16 12:44:35.000;01;Norte;PA;SERASA S.A;SERASA;1;62173620000180;62173620;SERASA S.A.;;7020400;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA;N;74;Banco de Dados ( SPC - SERASA - ETC. );1110;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.);F;entre 31 a 40 anos;68030300
2021;2021-01-20 12:05:40.000;2020-01-13 11:45:23.000;01;Norte;PA;C G NEVES STUDIO FOTOGRAFICO LTDA;MAIS FORMATURAS - BELÉM;1;13051052000139;13051052;C G NEVES STUDIO FOTOGRAFICO LTDA ME;STUDIO ARTE;4789008;COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM;N;246;Eventos ( Festas, Buffet, Formatura, Etc. );5216;Reajuste abusivo (preço, taxa, mensalidade, etc.);M;entre 21 a 30 anos;68010300
2021;2021-03-04 09:44:23.000;2021-01-22 11:58:41.000;01;Norte;PA;VIA MARCONI VEÍCULOS LTDA;VIA MARCONI;1;512663000276;00512663;VIA MARCONI VEICULOS LTDA;;4511101;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;S;129;Carro Nacional Zero ( Montadora );2656;Não entrega/demora na entrega do produto;M;entre 51 a 60 anos;68042110
2021;2021-05-26 09:28:04.000;2020-12-30 11:32:04.000;01;Norte;PA;BANCO C6 CONSIGNADO S.A;FICSA - C6 CONSIG;1;61348538000186;61348538;BANCO FICSA S/A.;FICSA;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;N;76;Outros Contratos;1566;Publicidade enganosa;M;entre 61 a 70 anos;68030450
2021;2021-07-20 09:39:01.000;2021-06-14 12:24:07.000;01;Norte;PA;BANCO C6 CONSIGNADO S.A;FICSA - C6 CONSIG;1;61348538000186;61348538;BANCO FICSA S/A.;FICSA;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;N;63;Financeira;1126;Cobrança indevida.;F;entre 51 a 60 anos;68025000
2021;2021-09-15 09:41:15.000;2021-07-23 08:24:39.000;01;Norte;PA;TELEMAR NORTE LESTE S/A;OI FIXO;1;33000118000926;33000118;TELEMAR NORTE LESTE S/A;OI;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;S;187;Telefonia Celular;3845;Contrato - Rescisão/alteração unilateral;M;entre 61 a 70 anos;68010470
2021;2021-03-09 14:50:06.000;2021-02-08 14:28:58.000;03;Sudeste;MG;CEMIG DISTRIBUICAO S.A;CEMIG DISTRIBUICAO S.A;1;6981180000116;06981180;CEMIG DISTRIBUICAO S.A;CEMIG D;3514000;DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;S;185;Energia Elétrica;3744;Cobrança indevida/abusiva;F;entre 61 a 70 anos;32000000
2021;2021-02-09 15:39:30.000;2020-12-15 10:35:53.000;03;Sudeste;MG;DECOLAR COM LTDA.;NULL;1;3563689000231;03563689;DECOLAR. COM LTDA.;;7911200;AGÊNCIAS DE VIAGENS;S;276;Agências e Operadoras de viagens (pacotes turísticos);7104;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança);F;entre 41 a 50 anos;32041340
2021;2021-02-15 15:31:49.000;2021-01-11 16:03:51.000;03;Sudeste;MG;DECOLAR COM LTDA.;NULL;1;3563689000231;03563689;DECOLAR. COM LTDA.;;7911200;AGÊNCIAS DE VIAGENS;S;276;Agências e Operadoras de viagens (pacotes turísticos);7104;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança);F;entre 31 a 40 anos;32110060
2021;2021-02-11 14:30:44.000;2021-01-05 11:49:15.000;03;Sudeste;MG;BRITANIA ELETRODOMESTICOS LTDA.;BRITÂNIA/PHILCO;1;76492701000157;76492701;BRITANIA ELETRODOMESTICOS SA;;8211300;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO;S;96;Televisão / Vídeo Cassete / Filmadora / Video-Laser;2497;Produto com vício;F;entre 51 a 60 anos;32113265
2021;2021-12-29 10:17:43.000;2021-09-20 10:32:11.000;02;Nordeste;BA;CELL & MIX BAHIA COM. DE ACESSORIOS PARA CELULARES;CELL & MIX;1;23029357000289;23029357;NULL;NULL;NULL;NULL;N;101;Telefone ( Convencional, Celular, Interfone, Etc. );2502;Produto com vício;F;Nao Informada;41322225
2021;2021-12-30 09:09:37.000;2021-11-17 11:22:57.000;02;Nordeste;PE;DECOLAR.COM LTDA;DECOLAR.COM;1;3563689000231;03563689;DECOLAR. COM LTDA.;;7911200;AGÊNCIAS DE VIAGENS;S;276;Agências e Operadoras de viagens (pacotes turísticos);4993;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato);F;entre 31 a 40 anos;54517230
2021;2021-12-07 12:19:27.000;2021-11-08 09:20:03.000;02;Nordeste;PE;CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTD;CESDE LTDA (MALLORY);1;153282000167;00153282;CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTDA;CESDE LTDA;2759799;FABRICAÇÃO DE OUTROS APARELHOS ELETRODOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS;S;288;Máquinas e Equipamentos;2550;Produto com vício;F;entre 41 a 50 anos;54530060
2021;2021-11-25 11:54:17.000;2021-10-25 10:49:16.000;02;Nordeste;PE;UNITOUR HOTEIS E TURISMO LTDA;UNITOUR HOTEIS E TURISMO;1;34479631000157;34479631;NULL;NULL;NULL;NULL;S;244;Hospedagem ( Hotel, Pousada, Chalé, Albergue, Etc. );7121;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante);M;entre 41 a 50 anos;54510370
2021;2021-11-22 14:53:47.000;2021-09-21 11:23:52.000;02;Nordeste;PE;NOVO MUNDO CAMINHOES E EQUIPAMENTO RODOVIARIOS LTD;NULL;1;11840303000139;11840303;NOVO MUNDO CAMINHOES E EQUIPAMENTOS RODOVIARIOS LTDA;;4511101;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS;S;89;Acessório Para Veículo ( Alarme, Amortecedor, Câmbio, Buzina, Estofamento, Lâmpada, Bateria, etc.);2490;Produto com vício;M;entre 41 a 50 anos;54505670
